Lineage	Most common countries	Earliest date	# designated	# assigned	Description	WHO Name
A	United States of America 29.0%, United_Arab_Emirates 12.0%, China 9.0%, Germany 7.0%, Canada 5.0%	2019-12-30	1698	2363	Root of the pandemic lies within lineage A. Many sequences originating from China and many global exports; including to South East Asia Japan South Korea Australia the USA and Europe represented in this lineage	-
A.1	United States of America 80.0%, Australia 9.0%, Canada 7.0%, United Kingdom 1.0%, Iceland 1.0%	2020-02-22	2699	3070	USA lineage	-
A.2	Spain 69.0%, United Kingdom 6.0%, Panama 5.0%, United States of America 4.0%, Canary_Islands 2.0%	2020-02-17	1107	1293	Mostly Spanish lineage now includes South and Central American sequences, other European countries and Kazakhstan.	-
A.2.2	Australia 92.0%, New_Zealand 2.0%, Canada 2.0%, United States of America 2.0%, United Kingdom 1.0%	2020-03-17	473	564	Australian lineage	-
A.2.3	United Kingdom 100.0%, Spain 0.0%	2020-03-12	167	201	Scottish lineage	-
A.2.4	Panama 95.0%, Costa_Rica 2.0%, Nicaragua 1.0%, Northern_Mariana_Islands 1.0%, United Kingdom 0.0%	2020-02-04	110	244	Panama lineage	-
A.2.5	United States of America 48.0%, Panama 17.0%, Guatemala 7.0%, Nicaragua 7.0%, Mexico 4.0%	2020-04-15	1028	2050	Central American/ USA lineage	-
A.2.5.1	Costa_Rica 48.0%, Panama 23.0%, United States of America 20.0%, Canada 3.0%, Guatemala 2.0%	2020-04-14	135	215	Costa Rica lineage from pango-designation issue #33	-
A.2.5.2	Canada 68.0%, United States of America 9.0%, Nicaragua 6.0%, Panama 6.0%, Italy 5.0%	2020-04-12	260	1093	Predominantly Italy lineage	-
A.2.5.3	Ecuador 77.0%, United States of America 10.0%, Czech_Republic 4.0%, Spain 3.0%, Nicaragua 2.0%	2021-02-23	57	99	Predominantly Ecuador lineage, from pango-designation issue #168	-
A.3	United States of America 91.0%, Panama 3.0%, Canada 2.0%, Taiwan 1.0%, South_Korea 0.0%	2020-03-11	361	462	USA lineage	-
A.4	United States of America 97.0%, Slovenia 1.0%, Canada 1.0%	2020-03-11	61	78	USA lineage	-
A.5	Spain 64.0%, United Kingdom 13.0%, Uruguay 4.0%, Portugal 2.0%, Peru 2.0%	2020-03-01	439	497	A lineage with a lot of representation from Spanish-speaking countries. A Spanish/ South-American lineage, but now with sequences from an outbreak in Scotland. Also now includes what was previously A.10.	-
A.6	Thailand 93.0%, Singapore 2.0%, Hong_Kong 2.0%, Japan 2.0%, Cambodia 1.0%	2020-01-23	164	175	Thai lineage	-
A.7	United States of America 61.0%, India 39.0%	2020-05-06	17	44	Indian lineage	-
A.9	India 95.0%, Germany 5.0%	2020-03-21	19	19	Indian lineage	-
A.11	Ghana 55.0%, Senegal 25.0%, Burkina_Faso 5.0%, New_Zealand 5.0%, United Kingdom 5.0%	2020-03-20	10	20	Ghana/ Senegal lineage	-
A.12	Sierra_Leone 83.0%, United Kingdom 17.0%	2020-04-10	6	6	Sierra Leone lineage	-
A.15	Denmark 87.0%, France 7.0%, Sweden 6.0%	2020-04-20	62	68	Sweden/ Denmark lineage	-
A.16	Japan 100.0%	2020-02-15	53	62	Japanese lineage	-
A.17	France 82.0%, United States of America 9.0%, China 9.0%	2020-01-25	10	11	French lineage	-
A.18	Cote_d'Ivoire 63.0%, Burkina_Faso 26.0%, Senegal 5.0%, France 5.0%	2020-06-21	10	19	Cote d'Ivoire/ Burkina Faso lineage	-
A.19	Cote_d'Ivoire 44.0%, Burkina_Faso 44.0%, Italy 3.0%, Australia 2.0%, Belgium 1.0%	2020-06-04	62	101	Cote d'Ivoire/ Burkina Faso lineage	-
